,0
648,Geosmithia morbida
649,Geosmithia putterillii
650,Geotrichum candidum
651,Geotrichum fermentans
652,Gilbertella persicaria
653,Glarea lozoyensis
654,Gliomastix tumulicola
655,Globomyces pollinis-pini
656,Gloeopeniophorella convolvens
657,Gloeophyllum trabeum
658,Glomerella acutata
659,Glomerella cingulata
660,Glonium stellatum
661,Golubevia pallescens
662,Gonapodya prolifera
663,Gongronella butleri
664,Gongronella sp.
665,Grammothele lineata
666,Graphilbum fragrans
667,Gremmeniella abietina
668,Grifola frondosa
669,Grosmannia clavigera
670,Grosmannia penicillata
671,Guyanagaster necrorhiza
672,Gyalolechia flavorubescens
673,Gymnascella aurantiaca
674,Gymnascella citrina
675,Gymnopilus chrysopellus
676,Gymnopilus junonius
677,Gymnopus androsaceus
678,Gymnopus earleae
679,Gymnopus luxurians
680,Gyrodon lividus
681,Gyromitra esculenta
682,Hamiltosporidium tvaerminnensis
683,Hanseniaspora guilliermondii
684,Hanseniaspora opuntiae
685,Hanseniaspora osmophila
686,Hanseniaspora uvarum
687,Hanseniaspora valbyensis
688,Hanseniaspora vineae
689,Hebeloma cylindrosporum
690,Helicocarpus griseus
691,Heliocybe sulcata
692,Helminthosporium solani
693,Helotiales sp.
694,Hepatospora eriocheir
695,Herpotrichiellaceae sp.
696,Hesseltinella vesiculosa
697,Heterobasidion annosum
698,Heterobasidion irregulare
699,Heterogastridium pycnidioideum
700,Hexagonia nitida
701,Hirsutella minnesotensis
702,Hirsutella thompsonii
703,Histoplasma capsulatum
704,Holtermannia corniformis
705,Holtermanniella nyarrowii
706,Homolaphlyctis polyrhiza
707,Homoloaphlyctis polyrhiza
708,Hortaea acidophila
709,Hortaea werneckii
710,Huntiella bhutanensis
711,Huntiella moniliformis
712,Huntiella omanensis
713,Huntiella savannae
714,Hyalopycnis blepharistoma
715,Hydnomerulius pinastri
716,Hydnopolyporus fimbriatus
717,Hydnum rufescens
718,Hymenopellis radicata
719,Hymenoscyphus fraxineus
720,Hymenoscyphus fructigenus
721,Hymenoscyphus infarciens
